Date,Close(SNAP)
3/10/2017,22.07
3/13/2017,21.09
3/14/2017,20.58
3/15/2017,20.77
3/16/2017,19.89
3/17/2017,19.54
3/20/2017,19.93
3/21/2017,20.38
3/22/2017,21.82
3/23/2017,23.13
3/24/2017,22.74
3/27/2017,23.83
3/28/2017,22.21
3/29/2017,22.55
3/30/2017,22.23
3/31/2017,22.53
4/3/2017,22.35
4/4/2017,22.14
4/5/2017,20.7
4/6/2017,20.57
4/7/2017,20.82
4/10/2017,20.97
4/11/2017,20.7
4/12/2017,20.22
4/13/2017,20.19
4/17/2017,19.94
4/18/2017,20.55
4/19/2017,20.62
4/20/2017,21.15
4/21/2017,20.93
4/24/2017,21.2
4/25/2017,21.34
4/26/2017,21.58
4/27/2017,22.01
4/28/2017,22.55
5/1/2017,22.21
5/2/2017,21.99
5/3/2017,21.82
5/4/2017,22.59
5/5/2017,23.19
5/8/2017,22.46
5/9/2017,23.32
5/10/2017,22.98
5/11/2017,18.05
5/12/2017,19.14
5/15/2017,20.74
5/16/2017,20.78
5/17/2017,19.9
5/18/2017,20.27
5/19/2017,20
5/22/2017,20.08
5/23/2017,20.03
5/24/2017,20.53
5/25/2017,21.93
5/26/2017,21.22
5/30/2017,21.45
5/31/2017,21.21
6/1/2017,21.34
6/2/2017,21.09
6/5/2017,20.21
6/6/2017,20.36
6/7/2017,19.56
6/8/2017,18.85
6/9/2017,18.08
6/12/2017,18.2
6/13/2017,18.1
6/14/2017,17.88
6/15/2017,17
6/16/2017,17.54
6/19/2017,17.88
6/20/2017,17.31
6/21/2017,17.27
6/22/2017,17.64
6/23/2017,17.54
6/26/2017,17.29
6/27/2017,17.34
6/28/2017,17.76
6/29/2017,17.89
6/30/2017,17.77
7/3/2017,17.59
7/5/2017,17.32
7/6/2017,17.31
7/7/2017,17.18
7/10/2017,16.99
7/11/2017,15.47
7/12/2017,15.24
7/13/2017,15.69
7/14/2017,15.27
7/17/2017,15.13
7/18/2017,14.73
7/19/2017,14.97
7/20/2017,14.89
7/21/2017,14.48
7/24/2017,14.08
7/25/2017,13.89
7/26/2017,13.4
7/27/2017,14
7/28/2017,13.81
7/31/2017,13.67
8/1/2017,13.1
8/2/2017,12.65
8/3/2017,12.93
8/4/2017,13.52
8/7/2017,13.39
8/8/2017,13.02
8/9/2017,13.56
8/10/2017,13.77
8/11/2017,11.83
8/14/2017,12.6
8/15/2017,12.74
8/16/2017,13.12
8/17/2017,13.35
8/18/2017,14.01
8/21/2017,13.58
8/22/2017,14.53
8/23/2017,15.09
8/24/2017,14.53
8/25/2017,14.78
8/28/2017,15.19
8/29/2017,14.99
8/30/2017,14.96
8/31/2017,14.51
9/1/2017,14.27
9/5/2017,14.49
9/6/2017,14.5
9/7/2017,15.15
9/8/2017,15.34
9/11/2017,15.27
9/12/2017,15.13
9/13/2017,15.03
9/14/2017,14.91
9/15/2017,15.25
9/18/2017,14.92
9/19/2017,14.72
9/20/2017,14.16
9/21/2017,13.77
9/22/2017,13.7
9/25/2017,13.22
9/26/2017,13.91
9/27/2017,14.12
9/28/2017,14.45
9/29/2017,14.54
10/2/2017,14.88
10/3/2017,14.64
10/4/2017,14.53
10/5/2017,14.48
10/6/2017,14.79
10/9/2017,14.71
10/10/2017,14.34
10/11/2017,15.98
10/12/2017,16.55
10/13/2017,16.5
10/16/2017,16.07
10/17/2017,16.09
10/18/2017,15.75
10/19/2017,15.25
10/20/2017,15.56
10/23/2017,14.97
10/24/2017,14.59
10/25/2017,14.16
10/26/2017,14.39
10/27/2017,15.44
10/30/2017,15.68
10/31/2017,15.34
11/1/2017,14.51
11/2/2017,14.55
11/3/2017,15.27
11/6/2017,14.83
11/7/2017,15.12
11/8/2017,12.91
11/9/2017,12.38
11/10/2017,12.76
11/13/2017,12.4
11/14/2017,12.57
11/15/2017,12.46
11/16/2017,12.56
11/17/2017,12.99
11/20/2017,12.41
11/21/2017,12.34
11/22/2017,12.62
11/24/2017,12.97
11/27/2017,13.06
11/28/2017,13.61
11/29/2017,13.7
11/30/2017,13.78
12/1/2017,13.87
12/4/2017,13.57
12/5/2017,14.94
12/6/2017,14.6
12/7/2017,14.7
12/8/2017,15.07
12/11/2017,16.22
12/12/2017,15.93
12/13/2017,15.96
12/14/2017,16.04
12/15/2017,15.75
12/18/2017,16.1
12/19/2017,15.77
12/20/2017,15.5
12/21/2017,15.37
12/22/2017,15.15
12/26/2017,15.01
12/27/2017,14.84
12/28/2017,14.85
12/29/2017,14.61
1/2/2018,14.95
1/3/2018,15.31
1/4/2018,14.59
1/5/2018,14.5
1/8/2018,14.06
1/9/2018,14.1
1/10/2018,14.65
1/11/2018,14.6
1/12/2018,14.11
1/16/2018,13.5
1/17/2018,13.52
1/18/2018,14.01
1/19/2018,14.04
1/22/2018,14.17
1/23/2018,14.25
1/24/2018,14.44
1/25/2018,13.71
1/26/2018,13.56
1/29/2018,13.47
1/30/2018,13.26
1/31/2018,13.52
