Date,Close(TWTR)
3/10/2017,15.12
3/13/2017,15.21
3/14/2017,15.32
3/15/2017,15.03
3/16/2017,15.19
3/17/2017,15.08
3/20/2017,15.09
3/21/2017,14.54
3/22/2017,14.98
3/23/2017,14.93
3/24/2017,15.14
3/27/2017,14.99
3/28/2017,14.94
3/29/2017,15.04
3/30/2017,14.92
3/31/2017,14.95
4/3/2017,14.84
4/4/2017,14.69
4/5/2017,14.53
4/6/2017,14.39
4/7/2017,14.29
4/10/2017,14.36
4/11/2017,14.31
4/12/2017,14.42
4/13/2017,14.3
4/17/2017,14.4
4/18/2017,14.44
4/19/2017,14.54
4/20/2017,14.65
4/21/2017,14.63
4/24/2017,14.71
4/25/2017,14.66
4/26/2017,15.82
4/27/2017,16.61
4/28/2017,16.48
5/1/2017,17.54
5/2/2017,18.24
5/3/2017,18.57
5/4/2017,18.48
5/5/2017,18.69
5/8/2017,18.31
5/9/2017,18.37
5/10/2017,18.54
5/11/2017,18.39
5/12/2017,18.61
5/15/2017,19.23
5/16/2017,19.49
5/17/2017,18.28
5/18/2017,18.51
5/19/2017,18.35
5/22/2017,18.43
5/23/2017,18.15
5/24/2017,17.98
5/25/2017,17.95
5/26/2017,18.23
5/30/2017,18.43
5/31/2017,18.32
6/1/2017,18.53
6/2/2017,18.31
6/5/2017,18.23
6/6/2017,17.57
6/7/2017,17.44
6/8/2017,17.59
6/9/2017,16.9
6/12/2017,17.04
6/13/2017,16.97
6/14/2017,16.76
6/15/2017,16.83
6/16/2017,16.67
6/19/2017,17.06
6/20/2017,16.91
6/21/2017,17.78
6/22/2017,18.15
6/23/2017,18.5
6/26/2017,18.29
6/27/2017,18.12
6/28/2017,17.95
6/29/2017,17.65
6/30/2017,17.87
7/3/2017,17.65
7/5/2017,17.82
7/6/2017,17.92
7/7/2017,18.02
7/10/2017,18.08
7/11/2017,18.64
7/12/2017,19.25
7/13/2017,19.32
7/14/2017,19.64
7/17/2017,19.94
7/18/2017,19.98
7/19/2017,20.12
7/20/2017,20.53
7/21/2017,20.11
7/24/2017,20
7/25/2017,19.97
7/26/2017,19.61
7/27/2017,16.84
7/28/2017,16.75
7/31/2017,16.09
8/1/2017,16.21
8/2/2017,16.07
8/3/2017,16.18
8/4/2017,16.29
8/7/2017,16.4
8/8/2017,16.15
8/9/2017,16.14
8/10/2017,15.75
8/11/2017,15.92
8/14/2017,16.09
8/15/2017,15.95
8/16/2017,16.16
8/17/2017,15.87
8/18/2017,15.99
8/21/2017,16.11
8/22/2017,16.63
8/23/2017,16.96
8/24/2017,16.89
8/25/2017,16.65
8/28/2017,16.77
8/29/2017,16.93
8/30/2017,16.93
8/31/2017,16.91
9/1/2017,16.86
9/5/2017,16.65
9/6/2017,16.83
9/7/2017,17.22
9/8/2017,17.45
9/11/2017,17.66
9/12/2017,18.17
9/13/2017,18.2
9/14/2017,18.21
9/15/2017,18.01
9/18/2017,17.6
9/19/2017,17.76
9/20/2017,17.62
9/21/2017,17.58
9/22/2017,17.61
9/25/2017,16.98
9/26/2017,16.59
9/27/2017,16.95
9/28/2017,16.85
9/29/2017,16.87
10/2/2017,17.09
10/3/2017,17.59
10/4/2017,17.75
10/5/2017,18.25
10/6/2017,17.85
10/9/2017,17.67
10/10/2017,17.41
10/11/2017,17.73
10/12/2017,18.45
10/13/2017,18.63
10/16/2017,18.33
10/17/2017,18.28
10/18/2017,18.02
10/19/2017,17.89
10/20/2017,17.87
10/23/2017,17.37
10/24/2017,17.25
10/25/2017,17.14
10/26/2017,20.31
10/27/2017,21.68
10/30/2017,21.25
10/31/2017,20.62
11/1/2017,20.61
11/2/2017,19.71
11/3/2017,19.9
11/6/2017,19.39
11/7/2017,19.66
11/8/2017,19.59
11/9/2017,19.9
11/10/2017,20.32
11/13/2017,20.17
11/14/2017,20.05
11/15/2017,19.91
11/16/2017,20.36
11/17/2017,20.76
11/20/2017,21.13
11/21/2017,21.88
11/22/2017,22.27
11/24/2017,22.42
11/27/2017,21.82
11/28/2017,21.83
11/29/2017,20.79
11/30/2017,20.58
12/1/2017,20.71
